"cell","celltype","group","site","aneuploid"
"Cell41","adipocyte","adipocyte","omental",FALSE
"Cell42","fibroblast","fibroblast","ascites",FALSE
"Cell43","malignant","malignant_omental","omental",TRUE
"Cell44","macrophage","macrophage","omental",FALSE
"Cell45","Tcell","Tcell","omental",FALSE
"Cell46","macrophage","macrophage","omental",FALSE
"Cell47","macrophage","macrophage","ascites",FALSE
"Cell48","fibroblast","fibroblast","omental",FALSE
"Cell49","malignant","malignant_ascites","ascites",TRUE
"Cell50","fibroblast","fibroblast","omental",FALSE
"Cell51","macrophage","macrophage","ascites",FALSE
"Cell52","macrophage","macrophage","omental",FALSE
"Cell53","malignant","malignant_omental","omental",TRUE
"Cell54","fibroblast","fibroblast","omental",FALSE
"Cell55","macrophage","macrophage","ascites",FALSE
"Cell56","macrophage","macrophage","omental",FALSE
"Cell57","macrophage","macrophage","omental",FALSE
"Cell58","fibroblast","fibroblast","omental",FALSE
"Cell59","endothelial","endothelial","omental",FALSE
"Cell60","fibroblast","fibroblast","omental",FALSE
"Cell61","malignant","malignant_ascites","ascites",TRUE
"Cell62","malignant","malignant_omental","omental",TRUE
"Cell63","Tcell","Tcell","omental",FALSE
"Cell64","adipocyte","adipocyte","omental",FALSE
"Cell65","malignant","malignant_ascites","ascites",TRUE
"Cell66","endothelial","endothelial","ascites",FALSE
"Cell67","malignant","malignant_ascites","ascites",TRUE
"Cell68","endothelial","endothelial","omental",FALSE
"Cell69","malignant","malignant_omental","omental",TRUE
"Cell70","Tcell","Tcell","ascites",FALSE
"Cell71","fibroblast","fibroblast","omental",FALSE
"Cell72","macrophage","macrophage","omental",FALSE
"Cell73","malignant","malignant_ascites","ascites",TRUE
"Cell74","malignant","malignant_ascites","ascites",TRUE
"Cell75","endothelial","endothelial","ascites",FALSE
"Cell76","malignant","malignant_omental","omental",TRUE
"Cell77","malignant","malignant_omental","omental",TRUE
"Cell78","malignant","malignant_omental","omental",TRUE
"Cell79","malignant","malignant_omental","omental",TRUE
"Cell80","malignant","malignant_omental","omental",TRUE
"Cell81","malignant","malignant_ascites","ascites",TRUE
"Cell82","malignant","malignant_omental","omental",TRUE
"Cell83","endothelial","endothelial","ascites",FALSE
"Cell84","malignant","malignant_omental","omental",TRUE
"Cell85","fibroblast","fibroblast","ascites",FALSE
"Cell86","malignant","malignant_omental","omental",TRUE
"Cell87","fibroblast","fibroblast","omental",FALSE
"Cell88","malignant","malignant_ascites","ascites",TRUE
"Cell89","malignant","malignant_ascites","ascites",TRUE
"Cell90","malignant","malignant_ascites","ascites",TRUE
"Cell91","endothelial","endothelial","omental",FALSE
"Cell92","Tcell","Tcell","ascites",FALSE
"Cell93","fibroblast","fibroblast","omental",FALSE
"Cell94","malignant","malignant_omental","omental",TRUE
"Cell95","fibroblast","fibroblast","omental",FALSE
"Cell96","fibroblast","fibroblast","omental",FALSE
"Cell97","malignant","malignant_omental","omental",TRUE
"Cell98","Tcell","Tcell","omental",FALSE
"Cell99","malignant","malignant_omental","omental",TRUE
"Cell100","malignant","malignant_ascites","ascites",TRUE
"Cell101","fibroblast","fibroblast","omental",FALSE
"Cell102","fibroblast","fibroblast","ascites",FALSE
"Cell103","malignant","malignant_omental","omental",TRUE
"Cell104","macrophage","macrophage","ascites",FALSE
"Cell105","macrophage","macrophage","omental",FALSE
"Cell106","Tcell","Tcell","ascites",FALSE
"Cell107","malignant","malignant_omental","omental",TRUE
"Cell108","macrophage","macrophage","omental",FALSE
"Cell109","fibroblast","fibroblast","omental",FALSE
"Cell110","malignant","malignant_ascites","ascites",TRUE
"Cell111","Tcell","Tcell","ascites",FALSE
"Cell112","macrophage","macrophage","omental",FALSE
"Cell113","malignant","malignant_omental","omental",TRUE
"Cell114","fibroblast","fibroblast","omental",FALSE
"Cell115","fibroblast","fibroblast","omental",FALSE
"Cell116","malignant","malignant_omental","omental",TRUE
"Cell117","adipocyte","adipocyte","ascites",FALSE
"Cell118","malignant","malignant_ascites","ascites",TRUE
"Cell119","malignant","malignant_omental","omental",TRUE
"Cell120","malignant","malignant_omental","omental",TRUE
"Cell121","macrophage","macrophage","ascites",FALSE
"Cell122","malignant","malignant_ascites","ascites",TRUE
"Cell123","malignant","malignant_ascites","ascites",TRUE
"Cell124","macrophage","macrophage","ascites",FALSE
"Cell125","endothelial","endothelial","ascites",FALSE
"Cell126","adipocyte","adipocyte","omental",FALSE
"Cell127","endothelial","endothelial","ascites",FALSE
"Cell128","macrophage","macrophage","ascites",FALSE
"Cell129","malignant","malignant_ascites","ascites",TRUE
"Cell130","malignant","malignant_omental","omental",TRUE
"Cell131","malignant","malignant_ascites","ascites",TRUE
"Cell132","fibroblast","fibroblast","omental",FALSE
"Cell133","malignant","malignant_ascites","ascites",TRUE
"Cell134","malignant","malignant_omental","omental",TRUE
"Cell135","adipocyte","adipocyte","ascites",FALSE
"Cell136","malignant","malignant_ascites","ascites",TRUE
"Cell137","malignant","malignant_omental","omental",TRUE
"Cell138","Tcell","Tcell","omental",FALSE
"Cell139","fibroblast","fibroblast","omental",FALSE
"Cell140","malignant","malignant_omental","omental",TRUE
"Cell141","malignant","malignant_omental","omental",TRUE
"Cell142","fibroblast","fibroblast","ascites",FALSE
"Cell143","macrophage","macrophage","ascites",FALSE
"Cell144","fibroblast","fibroblast","omental",FALSE
"Cell145","fibroblast","fibroblast","ascites",FALSE
"Cell146","malignant","malignant_ascites","ascites",TRUE
"Cell147","endothelial","endothelial","ascites",FALSE
"Cell148","macrophage","macrophage","omental",FALSE
"Cell149","malignant","malignant_ascites","ascites",TRUE
"Cell150","Tcell","Tcell","ascites",FALSE
"Cell151","malignant","malignant_ascites","ascites",TRUE
"Cell152","fibroblast","fibroblast","omental",FALSE
"Cell153","fibroblast","fibroblast","ascites",FALSE
"Cell154","fibroblast","fibroblast","omental",FALSE
"Cell155","endothelial","endothelial","omental",FALSE
"Cell156","malignant","malignant_omental","omental",TRUE
"Cell157","Tcell","Tcell","ascites",FALSE
"Cell158","fibroblast","fibroblast","omental",FALSE
"Cell159","macrophage","macrophage","omental",FALSE
"Cell160","endothelial","endothelial","omental",FALSE
"Cell161","endothelial","endothelial","omental",FALSE
"Cell162","malignant","malignant_ascites","ascites",TRUE
"Cell163","fibroblast","fibroblast","ascites",FALSE
"Cell164","endothelial","endothelial","omental",FALSE
"Cell165","malignant","malignant_ascites","ascites",TRUE
"Cell166","adipocyte","adipocyte","omental",FALSE
"Cell167","endothelial","endothelial","omental",FALSE
"Cell168","endothelial","endothelial","omental",FALSE
"Cell169","macrophage","macrophage","ascites",FALSE
"Cell170","malignant","malignant_ascites","ascites",TRUE
"Cell171","fibroblast","fibroblast","omental",FALSE
"Cell172","Tcell","Tcell","omental",FALSE
"Cell173","fibroblast","fibroblast","omental",FALSE
"Cell174","endothelial","endothelial","omental",FALSE
"Cell175","malignant","malignant_omental","omental",TRUE
"Cell176","fibroblast","fibroblast","omental",FALSE
"Cell177","malignant","malignant_omental","omental",TRUE
"Cell178","adipocyte","adipocyte","omental",FALSE
"Cell179","adipocyte","adipocyte","omental",FALSE
"Cell180","endothelial","endothelial","omental",FALSE
"Cell181","adipocyte","adipocyte","omental",FALSE
"Cell182","malignant","malignant_ascites","ascites",TRUE
"Cell183","malignant","malignant_omental","omental",TRUE
"Cell184","malignant","malignant_ascites","ascites",TRUE
"Cell185","macrophage","macrophage","omental",FALSE
"Cell186","malignant","malignant_omental","omental",TRUE
"Cell187","malignant","malignant_ascites","ascites",TRUE
"Cell188","fibroblast","fibroblast","ascites",FALSE
"Cell189","fibroblast","fibroblast","ascites",FALSE
"Cell190","Tcell","Tcell","ascites",FALSE
"Cell191","macrophage","macrophage","ascites",FALSE
"Cell192","malignant","malignant_ascites","ascites",TRUE
"Cell193","macrophage","macrophage","ascites",FALSE
"Cell194","fibroblast","fibroblast","ascites",FALSE
"Cell195","Tcell","Tcell","omental",FALSE
"Cell196","endothelial","endothelial","omental",FALSE
"Cell197","malignant","malignant_ascites","ascites",TRUE
"Cell198","malignant","malignant_omental","omental",TRUE
"Cell199","adipocyte","adipocyte","omental",FALSE
"Cell200","Tcell","Tcell","omental",FALSE
"Cell201","malignant","malignant_omental","omental",TRUE
"Cell202","malignant","malignant_ascites","ascites",TRUE
"Cell203","fibroblast","fibroblast","omental",FALSE
"Cell204","fibroblast","fibroblast","omental",FALSE
"Cell205","fibroblast","fibroblast","omental",FALSE
"Cell206","malignant","malignant_ascites","ascites",TRUE
"Cell207","Tcell","Tcell","omental",FALSE
"Cell208","fibroblast","fibroblast","ascites",FALSE
"Cell209","fibroblast","fibroblast","omental",FALSE
"Cell210","macrophage","macrophage","ascites",FALSE
"Cell211","fibroblast","fibroblast","omental",FALSE
"Cell212","macrophage","macrophage","omental",FALSE
"Cell213","macrophage","macrophage","ascites",FALSE
"Cell214","fibroblast","fibroblast","omental",FALSE
"Cell215","malignant","malignant_omental","omental",TRUE
"Cell216","malignant","malignant_ascites","ascites",TRUE
"Cell217","Tcell","Tcell","ascites",FALSE
"Cell218","malignant","malignant_omental","omental",TRUE
"Cell219","endothelial","endothelial","omental",FALSE
"Cell220","Tcell","Tcell","omental",FALSE
"Cell221","Tcell","Tcell","ascites",FALSE
"Cell222","malignant","malignant_ascites","ascites",TRUE
"Cell223","malignant","malignant_ascites","ascites",TRUE
"Cell224","malignant","malignant_ascites","ascites",TRUE
"Cell225","malignant","malignant_ascites","ascites",TRUE
"Cell226","fibroblast","fibroblast","omental",FALSE
"Cell227","malignant","malignant_ascites","ascites",TRUE
"Cell228","Tcell","Tcell","omental",FALSE
"Cell229","adipocyte","adipocyte","omental",FALSE
"Cell230","fibroblast","fibroblast","omental",FALSE
"Cell231","malignant","malignant_ascites","ascites",TRUE
"Cell232","malignant","malignant_omental","omental",TRUE
"Cell233","fibroblast","fibroblast","ascites",FALSE
"Cell234","fibroblast","fibroblast","omental",FALSE
"Cell235","malignant","malignant_omental","omental",TRUE
"Cell236","malignant","malignant_omental","omental",TRUE
"Cell237","adipocyte","adipocyte","omental",FALSE
"Cell238","malignant","malignant_ascites","ascites",TRUE
"Cell239","fibroblast","fibroblast","ascites",FALSE
"Cell240","Tcell","Tcell","omental",FALSE
"Cell241","macrophage","macrophage","ascites",FALSE
"Cell242","adipocyte","adipocyte","omental",FALSE
"Cell243","malignant","malignant_ascites","ascites",TRUE
"Cell244","malignant","malignant_omental","omental",TRUE
"Cell245","macrophage","macrophage","omental",FALSE
"Cell246","endothelial","endothelial","ascites",FALSE
"Cell247","endothelial","endothelial","ascites",FALSE
"Cell248","macrophage","macrophage","omental",FALSE
"Cell249","fibroblast","fibroblast","omental",FALSE
"Cell250","Tcell","Tcell","ascites",FALSE
"Cell251","malignant","malignant_ascites","ascites",TRUE
"Cell252","Tcell","Tcell","omental",FALSE
"Cell253","malignant","malignant_omental","omental",TRUE
"Cell254","fibroblast","fibroblast","omental",FALSE
"Cell255","malignant","malignant_omental","omental",TRUE
"Cell256","fibroblast","fibroblast","omental",FALSE
"Cell257","fibroblast","fibroblast","ascites",FALSE
"Cell258","malignant","malignant_ascites","ascites",TRUE
"Cell259","malignant","malignant_ascites","ascites",TRUE
"Cell260","macrophage","macrophage","ascites",FALSE
"Cell261","malignant","malignant_ascites","ascites",TRUE
"Cell262","malignant","malignant_omental","omental",TRUE
"Cell263","Tcell","Tcell","ascites",FALSE
"Cell264","malignant","malignant_ascites","ascites",TRUE
"Cell265","endothelial","endothelial","ascites",FALSE
"Cell266","malignant","malignant_omental","omental",TRUE
"Cell267","fibroblast","fibroblast","ascites",FALSE
"Cell268","Tcell","Tcell","ascites",FALSE
"Cell269","fibroblast","fibroblast","omental",FALSE
"Cell270","fibroblast","fibroblast","ascites",FALSE
"Cell271","malignant","malignant_ascites","ascites",TRUE
"Cell272","malignant","malignant_omental","omental",TRUE
"Cell273","endothelial","endothelial","ascites",FALSE
"Cell274","malignant","malignant_ascites","ascites",TRUE
"Cell275","malignant","malignant_omental","omental",TRUE
"Cell276","fibroblast","fibroblast","omental",FALSE
"Cell277","malignant","malignant_omental","omental",TRUE
"Cell278","malignant","malignant_ascites","ascites",TRUE
"Cell279","fibroblast","fibroblast","ascites",FALSE
"Cell280","macrophage","macrophage","ascites",FALSE
"Cell281","fibroblast","fibroblast","omental",FALSE
"Cell282","Tcell","Tcell","ascites",FALSE
"Cell283","macrophage","macrophage","ascites",FALSE
"Cell284","endothelial","endothelial","ascites",FALSE
"Cell285","malignant","malignant_omental","omental",TRUE
"Cell286","fibroblast","fibroblast","ascites",FALSE
"Cell287","Tcell","Tcell","ascites",FALSE
"Cell288","malignant","malignant_ascites","ascites",TRUE
"Cell289","malignant","malignant_omental","omental",TRUE
"Cell290","macrophage","macrophage","omental",FALSE
"Cell291","malignant","malignant_ascites","ascites",TRUE
"Cell292","malignant","malignant_ascites","ascites",TRUE
"Cell293","endothelial","endothelial","ascites",FALSE
"Cell294","malignant","malignant_omental","omental",TRUE
"Cell295","adipocyte","adipocyte","omental",FALSE
"Cell296","malignant","malignant_omental","omental",TRUE
"Cell297","fibroblast","fibroblast","omental",FALSE
"Cell298","adipocyte","adipocyte","omental",FALSE
"Cell299","Tcell","Tcell","ascites",FALSE
"Cell300","malignant","malignant_omental","omental",TRUE
"Cell301","malignant","malignant_omental","omental",TRUE
"Cell302","malignant","malignant_ascites","ascites",TRUE
"Cell303","Tcell","Tcell","ascites",FALSE
"Cell304","malignant","malignant_omental","omental",TRUE
"Cell305","fibroblast","fibroblast","ascites",FALSE
"Cell306","Tcell","Tcell","omental",FALSE
"Cell307","endothelial","endothelial","omental",FALSE
"Cell308","Tcell","Tcell","ascites",FALSE
"Cell309","fibroblast","fibroblast","omental",FALSE
"Cell310","macrophage","macrophage","omental",FALSE
"Cell311","malignant","malignant_omental","omental",TRUE
"Cell312","macrophage","macrophage","omental",FALSE
"Cell313","malignant","malignant_omental","omental",TRUE
"Cell314","malignant","malignant_ascites","ascites",TRUE
"Cell315","fibroblast","fibroblast","omental",FALSE
"Cell316","malignant","malignant_omental","omental",TRUE
"Cell317","fibroblast","fibroblast","ascites",FALSE
"Cell318","malignant","malignant_ascites","ascites",TRUE
"Cell319","malignant","malignant_omental","omental",TRUE
"Cell320","malignant","malignant_omental","omental",TRUE
"Cell321","fibroblast","fibroblast","omental",FALSE
"Cell322","endothelial","endothelial","ascites",FALSE
"Cell323","Tcell","Tcell","omental",FALSE
"Cell324","malignant","malignant_omental","omental",TRUE
"Cell325","adipocyte","adipocyte","omental",FALSE
"Cell326","adipocyte","adipocyte","omental",FALSE
"Cell327","malignant","malignant_ascites","ascites",TRUE
"Cell328","fibroblast","fibroblast","omental",FALSE
"Cell329","malignant","malignant_ascites","ascites",TRUE
"Cell330","adipocyte","adipocyte","omental",FALSE
"Cell331","malignant","malignant_ascites","ascites",TRUE
"Cell332","malignant","malignant_omental","omental",TRUE
"Cell333","macrophage","macrophage","ascites",FALSE
"Cell334","endothelial","endothelial","omental",FALSE
"Cell335","macrophage","macrophage","ascites",FALSE
"Cell336","malignant","malignant_ascites","ascites",TRUE
"Cell337","malignant","malignant_ascites","ascites",TRUE
"Cell338","Tcell","Tcell","ascites",FALSE
"Cell339","fibroblast","fibroblast","omental",FALSE
"Cell340","macrophage","macrophage","ascites",FALSE
"Cell341","macrophage","macrophage","ascites",FALSE
"Cell342","Tcell","Tcell","ascites",FALSE
"Cell343","malignant","malignant_omental","omental",TRUE
"Cell344","fibroblast","fibroblast","omental",FALSE
"Cell345","malignant","malignant_ascites","ascites",TRUE
"Cell346","malignant","malignant_omental","omental",TRUE
"Cell347","malignant","malignant_omental","omental",TRUE
"Cell348","malignant","malignant_omental","omental",TRUE
"Cell349","malignant","malignant_omental","omental",TRUE
"Cell350","macrophage","macrophage","ascites",FALSE
"Cell351","malignant","malignant_omental","omental",TRUE
"Cell352","malignant","malignant_ascites","ascites",TRUE
"Cell353","adipocyte","adipocyte","omental",FALSE
"Cell354","macrophage","macrophage","omental",FALSE
"Cell355","endothelial","endothelial","omental",FALSE
"Cell356","Tcell","Tcell","ascites",FALSE
"Cell357","fibroblast","fibroblast","omental",FALSE
"Cell358","endothelial","endothelial","omental",FALSE
"Cell359","malignant","malignant_ascites","ascites",TRUE
"Cell360","macrophage","macrophage","ascites",FALSE
"Cell361","adipocyte","adipocyte","omental",FALSE
"Cell362","malignant","malignant_ascites","ascites",TRUE
"Cell363","Tcell","Tcell","ascites",FALSE
"Cell364","macrophage","macrophage","ascites",FALSE
"Cell365","adipocyte","adipocyte","omental",FALSE
"Cell366","malignant","malignant_ascites","ascites",TRUE
"Cell367","endothelial","endothelial","omental",FALSE
"Cell368","Tcell","Tcell","omental",FALSE
"Cell369","macrophage","macrophage","omental",FALSE
"Cell370","fibroblast","fibroblast","omental",FALSE
"Cell371","fibroblast","fibroblast","omental",FALSE
"Cell372","macrophage","macrophage","omental",FALSE
"Cell373","malignant","malignant_ascites","ascites",TRUE
"Cell374","fibroblast","fibroblast","ascites",FALSE
"Cell375","Tcell","Tcell","ascites",FALSE
"Cell376","malignant","malignant_omental","omental",TRUE
"Cell377","endothelial","endothelial","omental",FALSE
"Cell378","macrophage","macrophage","ascites",FALSE
"Cell379","malignant","malignant_ascites","ascites",TRUE
"Cell380","adipocyte","adipocyte","omental",FALSE
"Cell381","malignant","malignant_ascites","ascites",TRUE
"Cell382","fibroblast","fibroblast","omental",FALSE
"Cell383","malignant","malignant_omental","omental",TRUE
"Cell384","malignant","malignant_ascites","ascites",TRUE
"Cell385","malignant","malignant_ascites","ascites",TRUE
"Cell386","malignant","malignant_omental","omental",TRUE
"Cell387","macrophage","macrophage","omental",FALSE
"Cell388","malignant","malignant_omental","omental",TRUE
"Cell389","macrophage","macrophage","omental",FALSE
"Cell390","malignant","malignant_omental","omental",TRUE
"Cell391","adipocyte","adipocyte","omental",FALSE
"Cell392","adipocyte","adipocyte","omental",FALSE
"Cell393","macrophage","macrophage","omental",FALSE
"Cell394","adipocyte","adipocyte","omental",FALSE
"Cell395","fibroblast","fibroblast","omental",FALSE
"Cell396","Tcell","Tcell","ascites",FALSE
"Cell397","macrophage","macrophage","omental",FALSE
"Cell398","endothelial","endothelial","ascites",FALSE
"Cell399","malignant","malignant_omental","omental",TRUE
"Cell400","fibroblast","fibroblast","omental",FALSE
"Cell401","Tcell","Tcell","ascites",FALSE
"Cell402","malignant","malignant_omental","omental",TRUE
"Cell403","Tcell","Tcell","omental",FALSE
"Cell404","macrophage","macrophage","omental",FALSE
"Cell405","malignant","malignant_omental","omental",TRUE
"Cell406","Tcell","Tcell","ascites",FALSE
"Cell407","malignant","malignant_ascites","ascites",TRUE
"Cell408","malignant","malignant_ascites","ascites",TRUE
"Cell409","malignant","malignant_ascites","ascites",TRUE
"Cell410","malignant","malignant_ascites","ascites",TRUE
"Cell411","fibroblast","fibroblast","omental",FALSE
"Cell412","malignant","malignant_omental","omental",TRUE
"Cell413","fibroblast","fibroblast","omental",FALSE
"Cell414","malignant","malignant_omental","omental",TRUE
"Cell415","fibroblast","fibroblast","omental",FALSE
"Cell416","Tcell","Tcell","omental",FALSE
"Cell417","Tcell","Tcell","omental",FALSE
"Cell418","Tcell","Tcell","ascites",FALSE
"Cell419","malignant","malignant_ascites","ascites",TRUE
"Cell420","malignant","malignant_ascites","ascites",TRUE
"Cell421","malignant","malignant_ascites","ascites",TRUE
"Cell422","macrophage","macrophage","ascites",FALSE
"Cell423","Tcell","Tcell","ascites",FALSE
"Cell424","malignant","malignant_omental","omental",TRUE
"Cell425","malignant","malignant_ascites","ascites",TRUE
"Cell426","malignant","malignant_omental","omental",TRUE
"Cell427","malignant","malignant_omental","omental",TRUE
"Cell428","macrophage","macrophage","ascites",FALSE
"Cell429","malignant","malignant_ascites","ascites",TRUE
"Cell430","Tcell","Tcell","omental",FALSE
"Cell431","malignant","malignant_omental","omental",TRUE
"Cell432","malignant","malignant_ascites","ascites",TRUE
"Cell433","fibroblast","fibroblast","omental",FALSE
"Cell434","fibroblast","fibroblast","ascites",FALSE
"Cell435","malignant","malignant_ascites","ascites",TRUE
"Cell436","fibroblast","fibroblast","ascites",FALSE
"Cell437","malignant","malignant_ascites","ascites",TRUE
"Cell438","adipocyte","adipocyte","omental",FALSE
"Cell439","malignant","malignant_ascites","ascites",TRUE
"Cell440","malignant","malignant_omental","omental",TRUE
"Cell441","malignant","malignant_omental","omental",TRUE
"Cell442","adipocyte","adipocyte","omental",FALSE
"Cell443","malignant","malignant_omental","omental",TRUE
"Cell444","Tcell","Tcell","ascites",FALSE
"Cell445","malignant","malignant_omental","omental",TRUE
"Cell446","malignant","malignant_omental","omental",TRUE
"Cell447","Tcell","Tcell","ascites",FALSE
"Cell448","macrophage","macrophage","ascites",FALSE
"Cell449","endothelial","endothelial","ascites",FALSE
"Cell450","Tcell","Tcell","ascites",FALSE
"Cell451","fibroblast","fibroblast","omental",FALSE
"Cell452","malignant","malignant_omental","omental",TRUE
"Cell453","malignant","malignant_omental","omental",TRUE
"Cell454","malignant","malignant_ascites","ascites",TRUE
"Cell455","macrophage","macrophage","ascites",FALSE
"Cell456","malignant","malignant_omental","omental",TRUE
"Cell457","Tcell","Tcell","ascites",FALSE
"Cell458","macrophage","macrophage","ascites",FALSE
"Cell459","malignant","malignant_ascites","ascites",TRUE
"Cell460","malignant","malignant_omental","omental",TRUE
"Cell461","malignant","malignant_omental","omental",TRUE
"Cell462","macrophage","macrophage","ascites",FALSE
"Cell463","malignant","malignant_omental","omental",TRUE
"Cell464","malignant","malignant_ascites","ascites",TRUE
"Cell465","adipocyte","adipocyte","omental",FALSE
"Cell466","Tcell","Tcell","ascites",FALSE
"Cell467","malignant","malignant_omental","omental",TRUE
"Cell468","fibroblast","fibroblast","omental",FALSE
"Cell469","malignant","malignant_ascites","ascites",TRUE
"Cell470","macrophage","macrophage","omental",FALSE
"Cell471","macrophage","macrophage","ascites",FALSE
"Cell472","endothelial","endothelial","omental",FALSE
"Cell473","macrophage","macrophage","omental",FALSE
"Cell474","malignant","malignant_ascites","ascites",TRUE
"Cell475","malignant","malignant_omental","omental",TRUE
"Cell476","malignant","malignant_ascites","ascites",TRUE
"Cell477","adipocyte","adipocyte","omental",FALSE
"Cell478","fibroblast","fibroblast","omental",FALSE
"Cell479","malignant","malignant_omental","omental",TRUE
"Cell480","Tcell","Tcell","ascites",FALSE
"Cell481","malignant","malignant_omental","omental",TRUE
"Cell482","malignant","malignant_omental","omental",TRUE
"Cell483","Tcell","Tcell","omental",FALSE
"Cell484","Tcell","Tcell","ascites",FALSE
"Cell485","fibroblast","fibroblast","omental",FALSE
"Cell486","malignant","malignant_omental","omental",TRUE
"Cell487","Tcell","Tcell","omental",FALSE
"Cell488","adipocyte","adipocyte","omental",FALSE
"Cell489","fibroblast","fibroblast","omental",FALSE
"Cell490","malignant","malignant_omental","omental",TRUE
"Cell491","fibroblast","fibroblast","ascites",FALSE
"Cell492","fibroblast","fibroblast","omental",FALSE
"Cell493","macrophage","macrophage","ascites",FALSE
"Cell494","malignant","malignant_omental","omental",TRUE
"Cell495","macrophage","macrophage","ascites",FALSE
"Cell496","malignant","malignant_omental","omental",TRUE
"Cell497","fibroblast","fibroblast","omental",FALSE
"Cell498","malignant","malignant_omental","omental",TRUE
"Cell499","malignant","malignant_omental","omental",TRUE
"Cell500","malignant","malignant_ascites","ascites",TRUE
"Cell501","macrophage","macrophage","omental",FALSE
"Cell502","adipocyte","adipocyte","omental",FALSE
"Cell503","fibroblast","fibroblast","omental",FALSE
"Cell504","macrophage","macrophage","ascites",FALSE
"Cell505","macrophage","macrophage","ascites",FALSE
"Cell506","malignant","malignant_ascites","ascites",TRUE
"Cell507","Tcell","Tcell","ascites",FALSE
"Cell508","malignant","malignant_omental","omental",TRUE
"Cell509","malignant","malignant_ascites","ascites",TRUE
"Cell510","Tcell","Tcell","omental",FALSE
"Cell511","macrophage","macrophage","ascites",FALSE
"Cell512","Tcell","Tcell","ascites",FALSE
"Cell513","malignant","malignant_ascites","ascites",TRUE
"Cell514","malignant","malignant_omental","omental",TRUE
"Cell515","fibroblast","fibroblast","omental",FALSE
"Cell516","adipocyte","adipocyte","omental",FALSE
"Cell517","malignant","malignant_omental","omental",TRUE
"Cell518","Tcell","Tcell","ascites",FALSE
"Cell519","endothelial","endothelial","omental",FALSE
"Cell520","malignant","malignant_ascites","ascites",TRUE
"Cell521","malignant","malignant_ascites","ascites",TRUE
"Cell522","adipocyte","adipocyte","omental",FALSE
"Cell523","malignant","malignant_omental","omental",TRUE
"Cell524","malignant","malignant_ascites","ascites",TRUE
"Cell525","malignant","malignant_ascites","ascites",TRUE
"Cell526","macrophage","macrophage","omental",FALSE
"Cell527","adipocyte","adipocyte","omental",FALSE
"Cell528","malignant","malignant_omental","omental",TRUE
"Cell529","adipocyte","adipocyte","omental",FALSE
"Cell530","fibroblast","fibroblast","omental",FALSE
"Cell531","fibroblast","fibroblast","ascites",FALSE
"Cell532","macrophage","macrophage","omental",FALSE
"Cell533","fibroblast","fibroblast","omental",FALSE
"Cell534","macrophage","macrophage","omental",FALSE
"Cell535","Tcell","Tcell","ascites",FALSE
"Cell536","Tcell","Tcell","ascites",FALSE
"Cell537","adipocyte","adipocyte","omental",FALSE
"Cell538","Tcell","Tcell","ascites",FALSE
"Cell539","fibroblast","fibroblast","ascites",FALSE
"Cell540","adipocyte","adipocyte","ascites",FALSE
"Cell541","malignant","malignant_omental","omental",TRUE
"Cell542","adipocyte","adipocyte","omental",FALSE
"Cell543","Tcell","Tcell","ascites",FALSE
"Cell544","macrophage","macrophage","ascites",FALSE
"Cell545","Tcell","Tcell","omental",FALSE
"Cell546","malignant","malignant_omental","omental",TRUE
